id	sn	s1	s2	s3	s4	s5	s6	d	dp2	dp2s	d2	d2s	dp4	dp4s	d4	d4s	df	dfs
1001	0	0	0	0	0	0	0	5	6	6	5	3	6	5	5	3	5	2
1003	3	0	1	1	1	0	0	3	4	5	3	3	4	4	3	2	3	2
1005	0	0	0	0	0	0	0	4	5	5	4	3	5	4	4	2	4	2
1007	0	0	0	0	0	0	0	5	7	6	6	3	6	5	5	3	6	2
1009	0	0	0	0	0	0	0	6	8	6	6	3	6	5	6	3	7	2
1011	0	0	0	0	0	0	0	5	6	5	5	3	5	5	4	3	5	2
1013	0	0	0	0	0	0	0	4	5	6	4	3	5	5	4	3	4	2
1015	1	1	0	0	0	0	0	6	7	6	6	3	7	5	6	3	6	2
1017	0	0	0	0	0	0	0	5	6	5	6	3	6	5	5	3	6	2
1019	0	0	0	0	0	0	0	6	8	5	7	3	7	5	6	3	7	2
1021	0	0	0	0	0	0	0	5	7	6	6	3	6	5	5	3	6	2
1023	0	0	0	0	0	0	0	4	5	5	4	3	5	4	4	2	4	2
1025	0	0	0	0	0	0	0	4	5	5	4	3	4	4	4	3	4	2
1027	0	0	0	0	0	0	0	6	7	6	6	3	6	5	5	3	6	2
1029	0	0	0	0	0	0	0	6	7	5	6	3	7	5	6	3	6	2
1031	1	0	0	0	1	0	0	4	5	5	4	3	5	4	4	2	4	2
1033	1	0	0	0	1	0	0	6	8	5	7	3	7	5	6	3	7	2
1035	1	0	0	0	1	0	0	4	5	6	4	3	4	4	4	3	4	2
1037	0	0	0	0	0	0	0	5	7	6	6	3	6	5	5	3	6	2
1039	1	0	0	0	1	0	0	4	5	6	4	3	4	4	4	2	4	2
1041	0	0	0	0	0	0	0	4	5	5	4	3	5	5	4	3	4	2
1043	1	0	0	0	1	0	0	6	8	6	7	3	7	5	6	3	7	2
1045	1	0	0	0	1	0	0	4	5	5	4	3	5	4	4	2	4	2
1047	3	0	2	0	1	0	0	5	6	6	5	3	5	5	5	3	5	2
1049	0	0	0	0	0	0	0	7	8	5	7	3	7	5	6	3	7	2
1051	1	0	0	0	1	0	0	5	6	6	5	3	6	5	5	3	5	2
1053	1	0	0	0	1	0	0	4	4	5	4	3	4	4	3	2	4	2
1055	1	0	0	0	1	0	0	6	8	6	7	3	7	5	6	3	7	2
1057	0	0	0	0	0	0	0	6	7	5	6	3	6	5	5	3	6	2
1059	0	0	0	0	0	0	0	6	8	5	7	3	6	5	6	3	7	2
